alerts,alerts_per_hour,precision,event_recall,median_lead_time_sec,p90_lead_time_sec,tau,sigma_max
1261,13.41172299692744,0.08088818398096749,0.5862068965517241,187.5,272.9,0.45,0.050885576754808426
1414,15.038997872843298,0.07708628005657708,0.6264367816091954,193.0,279.4,0.45,0.06192212924361229
1523,16.198298274639566,0.07419566644780039,0.6494252873563219,200.0,280.8,0.45,0.07534701377153397
1582,16.82580950129993,0.07206068268015171,0.6551724137931034,204.0,276.7,0.45,0.09545204043388367
1214,12.911841172299692,0.08237232289950576,0.5747126436781609,181.5,273.1,0.48,0.050885576754808426
1356,14.422122429685652,0.07890855457227139,0.6149425287356322,188.0,275.4,0.48,0.06192212924361229
1437,15.283620893405814,0.0744606819763396,0.6149425287356322,194.0,273.20000000000005,0.48,0.07534701377153397
1495,15.90049633656346,0.07290969899665552,0.6264367816091954,192.0,268.2,0.48,0.09545204043388367
1173,12.475774048688253,0.08098891730605286,0.5459770114942529,160.0,273.6,0.5,0.050885576754808426
1294,13.762703852517134,0.07727975270479134,0.5747126436781609,182.5,283.0,0.5,0.06192212924361229
1364,14.507208697707398,0.07404692082111437,0.5804597701149425,193.0,275.0,0.5,0.07534701377153397
1410,14.996454738832426,0.07304964539007092,0.5919540229885057,194.0,270.4,0.5,0.09545204043388367
1119,11.901441739541479,0.08042895442359249,0.5172413793103449,163.0,274.50000000000006,0.52,0.050885576754808426
1221,12.986291656818718,0.07534807534807535,0.5287356321839081,183.5,285.70000000000005,0.52,0.06192212924361229
1295,13.773339636019854,0.07258687258687259,0.5402298850574713,186.0,287.4,0.52,0.07534701377153397
1334,14.188135192625856,0.0727136431784108,0.5574712643678161,188.0,280.6,0.52,0.09545204043388367
