alerts,alerts_per_hour,precision,event_recall,median_lead_time_sec,p90_lead_time_sec,tau
2991,4.793077200432675,0.2962219993313273,0.7470489038785835,145.0,265.0,0.35
2409,3.860422258723609,0.34205064342050645,0.6947723440134908,122.0,260.70000000000005,0.4
1802,2.887704819518449,0.3978912319644839,0.6045531197301856,95.0,249.39999999999998,0.45
1275,2.0431873723007894,0.4415686274509804,0.47470489038785835,77.0,227.8,0.48
991,1.5880774007451626,0.4510595358224016,0.3768971332209106,67.0,226.40000000000003,0.5
727,1.1650174271864109,0.4649243466299862,0.28499156829679595,62.0,224.60000000000002,0.52
466,0.7467649533271904,0.4592274678111588,0.18043844856661045,61.5,225.10000000000005,0.54
256,0.4102399743600016,0.47265625,0.10202360876897133,57.0,206.0,0.56
148,0.23716998517687593,0.46621621621621623,0.0581787521079258,67.0,260.20000000000005,0.58
92,0.14742999078562558,0.5,0.0387858347386172,56.5,225.5,0.6
66,0.10576499338968792,0.45454545454545453,0.025295109612141653,56.0,200.90000000000006,0.62
45,0.07211249549296904,0.4444444444444444,0.016863406408094434,59.5,199.90000000000006,0.65
